tables,as,as_label,Pull Request/Issue,parents_as,parents_as_label,references
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-sigmoid-sinus-of-mastoid-part-of-temporal-bone,groove for sigmoid sinus of mastoid part of temporal bone,,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-subclavian-artery-of-first-rib,groove for subclavian artery of first rib,uberon#3656,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-subclavian-vein-of-first-rib,groove for subclavian vein of first rib,uberon#3656,UBERON:0004601,rib 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-superior-sagittal-sinus-of-frontal-bone,groove for superior sagittal sinus of frontal bone,,UBERON:0004601,rib 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-superior-sagittal-sinus-of-parietal-bone,groove for superior sagittal sinus of parietal bone,,UBERON:0000209,tetrapod frontal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-tendon-of-flexor-hallucis-longus-muscle-of-calcaneus,groove for tendon of flexor hallucis longus muscle of calcaneus,,UBERON:0000210,tetrapod parietal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-transverse-sinus-of-squamous-part-of-occipital-bone,groove for transverse sinus of squamous part of occipital bone,,UBERON:0001450,calcaneus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_groove-for-vertebral-artery-of-first-cervical-vertebra,groove for vertebral artery of first cervical vertebra,uberon#3656,UBERON:0001676,occipital bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-radius-of-radius,head of radius of radius,,UBERON:0000370,adductor magnus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-second-distal-phalanx-of-foot,head of second distal phalanx of foot,,UBERON:0001423,radius bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-second-distal-phalanx-of-hand,head of second distal phalanx of hand,,UBERON:0004316,distal phalanx of pedal digit 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-second-middle-phalanx-of-foot,head of second middle phalanx of foot,,UBERON:0004311,distal phalanx of manual digit 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-second-middle-phalanx-of-hand,head of second middle phalanx of hand,,UBERON:0004324,middle phalanx of pedal digit 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-third-middle-phalanx-of-hand,head of third middle phalanx of hand,,UBERON:0004320,middle phalanx of manual digit 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_head-of-ulna-of-ulna,head of ulna of ulna,,UBERON:0004321,middle phalanx of manual digit 3,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_hiatus-and-groove-of-petrous-part-of-temporal-bone-for-greater-petrosal-nerve,hiatus and groove of petrous part of temporal bone for greater petrosal nerve,,https://purl.org/ccf/ASCTB-TEMP_segmental-hepatic-artery,segmental hepatic artery,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_hiatus-and-groove-of-petrous-part-of-temporal-bone-for-lesser-petrosal-nerve,hiatus and groove of petrous part of temporal bone for lesser petrosal nerve,,UBERON:0001678,temporal bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_hyoid-region-bone,hyoid region bone,,http://purl.org/sig/ont/fma/fma8616,Trunk of right upper lobar artery,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_hypoglossal-canal-of-basilar-part-of-occipital-bone,hypoglossal canal of basilar part of occipital bone,,https://purl.org/ccf/ASCTB-TEMP_neuromeningeal-trunk,neuromeningeal trunk,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_hypophyseal-fossa-of-sphenoid-bone,hypophyseal fossa of sphenoid bone,,UBERON:0001676,occipital bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_iliac-crest-of-ilium-of-os-coxa,iliac crest of ilium of os coxa,,UBERON:0001499,muscle of arm,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_iliac-fossa-of-ilium-of-os-coxa,iliac fossa of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
